"Name1" "Name2" "Sequences" "Size1(bp)" "Size2(bp)" "Type"
"557" "Gene09477" "227" "1821" "1251" "peg"
"558" "Gene09478" "230" "2532" "1860" "peg"
"559" "Gene09492" "228" "1314" "933" "peg"
"560" "Gene09493" "224" "1347" "966" "peg"
"561" "Gene09503" "230" "1599" "1335" "peg"
"563" "Gene09514" "231" "987" "816" "peg"
"565" "Gene09561" "229" "1395" "1134" "peg"
"566" "Gene09562" "230" "699" "432" "peg"
"567" "Gene09588" "229" "1083" "819" "peg"
"568" "Gene09589" "231" "1338" "1218" "peg"
"569" "Gene09592" "201" "570" "459" "peg"
"570" "Gene09626" "229" "2688" "2247" "peg"
"571" "Gene09660" "231" "1236" "1086" "peg"
"572" "Gene09670" "209" "1464" "1164" "peg"
"573" "Gene09711" "229" "855" "507" "peg"
"574" "Gene09714" "230" "969" "870" "peg"
"575" "Gene09724" "227" "1038" "825" "peg"
"576" "Gene09746" "227" "1104" "900" "peg"
"577" "Gene09747" "229" "1320" "1287" "peg"
"578" "Gene09754" "228" "1419" "1404" "peg"
"579" "Gene09755" "224" "1722" "1428" "peg"
"580" "Gene09757" "229" "1671" "1401" "peg"
"581" "Gene09763" "229" "1605" "1344" "peg"
"582" "Gene09764" "207" "1749" "1629" "peg"
"583" "Gene09773" "228" "1479" "1230" "peg"
"584" "Gene09798" "215" "1137" "828" "peg"
"585" "Gene09799" "226" "855" "696" "peg"
"586" "Gene09809" "208" "1152" "708" "peg"
"587" "Gene09824" "231" "1107" "771" "peg"
"588" "Gene09840" "225" "915" "621" "peg"
"589" "Gene09862" "221" "678" "528" "peg"
"590" "Gene09870" "229" "2166" "1425" "peg"
"591" "Gene09872" "230" "651" "474" "peg"
"592" "Gene09899" "225" "240" "183" "peg"
"593" "Gene09902" "204" "339" "294" "peg"
"594" "Gene09903" "203" "933" "780" "peg"
"595" "Gene09905" "224" "411" "189" "peg"
"596" "Gene09919" "226" "342" "207" "peg"
"597" "Gene09944" "223" "1983" "1944" "peg"
"598" "Gene09963" "231" "681" "663" "peg"
"599" "Gene09964" "206" "246" "216" "peg"
"600" "Gene10020" "225" "543" "369" "peg"
"601" "Gene10037" "226" "846" "462" "peg"
"602" "Gene10038" "230" "807" "594" "peg"
"603" "Gene10056" "226" "864" "672" "peg"
"604" "Gene10060" "231" "834" "627" "peg"
"605" "Gene10061" "229" "813" "678" "peg"
"606" "Gene10063" "222" "1182" "792" "peg"
"607" "Gene10101" "230" "780" "714" "peg"
"608" "Gene10106" "227" "1332" "1011" "peg"
"609" "Gene10114" "227" "930" "864" "peg"
"610" "Gene10120" "226" "3105" "2670" "peg"
"611" "Gene10208" "230" "1161" "651" "peg"
"612" "Gene10221" "226" "969" "864" "peg"
"613" "Gene10222" "231" "234" "234" "peg"
"614" "Gene10224" "220" "492" "324" "peg"
"615" "Gene10226" "230" "1212" "714" "peg"
"616" "Gene10229" "230" "930" "864" "peg"
