"Strain" "Strain-simp" "annotation-file" "scaffolds" "genome-size" "max-scaffold-size" "annotations" "hypothetical-protein" "repeat-region" "Mobile-element-protein" "other-annotations-unique" "other-annotations-sum" "other-annotations-mean-copy-number" "other-annotations-sd-copy-number" "GC-content"
"E-041" "st63" "6666666.688742.txt" "303" "5976183" "285689" "7522" "2985" "611" "125" "2622" "3801" "1.44965675057208" "1.83368526121311" "0.697600457806777"
"E-045" "st64" "6666666.688746.txt" "133" "5587173" "458453" "6234" "2284" "304" "67" "2589" "3579" "1.38238702201622" "1.61993913487422" "0.675386276743092"
"E-046" "st65" "6666666.688733.txt" "296" "6815891" "405237" "8279" "3366" "593" "40" "2798" "4280" "1.52966404574696" "2.12675197577554" "0.697724947461796"
"E-065" "st66" "6666666.688731.txt" "299" "6986498" "396366" "8564" "3521" "629" "95" "2809" "4319" "1.5375578497686" "2.25338362601045" "0.684238035256281"
"E-066" "st67" "6666666.688735.txt" "209" "6656901" "333444" "7775" "2904" "539" "73" "2808" "4259" "1.51673789173789" "2.24276641281088" "0.691352860261412"
"J-001" "st75" "6666666.688740.txt" "223" "6235579" "403854" "7235" "2667" "437" "103" "2697" "4028" "1.4935113088617" "2.0342155262131" "0.686922944400997"
"J-026" "st76" "6666666.688741.txt" "351" "6144892" "198202" "7546" "2800" "708" "46" "2674" "3992" "1.49289454001496" "2.15923918965385" "0.697818558732449"
"J-030" "st77" "6666666.688732.txt" "405" "6914656" "313511" "8858" "3683" "720" "121" "2799" "4334" "1.54841014648089" "2.36434608068718" "0.690922457368632"
"J-043" "st78" "6666666.688750.txt" "81" "5282872" "689006" "5486" "1610" "190" "78" "2693" "3608" "1.33976977348682" "1.46860541965001" "0.690240183651904"
"J-048" "st79" "6666666.688739.txt" "304" "6308913" "309407" "7671" "2896" "634" "51" "2725" "4090" "1.50091743119266" "2.07965881880929" "0.691155927973594"
"J-059" "st80" "6666666.688744.txt" "188" "5793233" "207888" "6815" "2672" "393" "59" "2623" "3691" "1.40716736561189" "1.63032209542497" "0.702031251674684"
"J-067" "st81" "6666666.688749.txt" "145" "5356135" "686543" "5783" "1846" "269" "18" "2600" "3650" "1.40384615384615" "1.75532625816116" "0.696742185027617"
"J-068" "st82" "6666666.688752.txt" "128" "5112631" "563432" "5508" "1867" "274" "33" "2514" "3334" "1.32617342879873" "1.38902207586932" "0.697656510466117"
"J-070" "st83" "6666666.688730.txt" "305" "7040475" "418987" "8681" "3511" "647" "100" "2798" "4423" "1.5807719799857" "2.37819055642635" "0.699471299263363"
"J-072" "st84" "6666666.688737.txt" "229" "6528219" "298855" "7794" "2864" "624" "80" "2806" "4226" "1.50605844618674" "2.12777213595264" "0.691358865127092"
"J-076" "st85" "6666666.688751.txt" "147" "5235929" "638954" "5780" "2049" "290" "26" "2553" "3415" "1.3376419898159" "1.42538459375603" "0.705553453684757"
"J-077" "st86" "6666666.688736.txt" "257" "6613582" "406903" "7809" "2888" "535" "111" "2772" "4275" "1.54220779220779" "2.25607657642595" "0.690661766324386"
"J-078" "st87" "6666666.688748.txt" "142" "5533900" "306639" "6041" "2090" "295" "65" "2597" "3591" "1.38274932614555" "1.59660019784569" "0.697457060952797"
"J-088" "st88" "6666666.688738.txt" "278" "6396613" "295693" "7495" "2823" "565" "55" "2747" "4052" "1.47506370586094" "2.04136411911418" "0.686394695051671"
"J-090" "st89" "6666666.688753.txt" "119" "5035977" "428343" "5578" "1886" "299" "57" "2501" "3336" "1.33386645341863" "1.33898790306641" "0.694740696530541"
"J-092" "st90" "6666666.688745.txt" "225" "5650825" "214929" "6791" "2582" "458" "56" "2615" "3695" "1.41300191204589" "1.67979554069158" "0.701339977860406"
"Mb.adhaesivum_DSM17169T" "st125" "6666666.879394.txt" "61" "4671479" "554510" "4675" "1562" "0" "21" "2409" "3092" "1.2835201328352" "1.19789331781303" "0.690005527669596"
"Mb.aerolatum_DSM19013T" "st126" "6666666.879395.txt" "67" "4870531" "488501" "4847" "1647" "0" "17" "2469" "3183" "1.28918590522479" "1.20195701840633" "0.702423331753411"
"Mb.aquaticum_DSM16371T=GR16" "st128" "6666666.879396.txt" "512" "7395363" "131307" "7849" "3002" "0" "113" "3003" "4734" "1.57642357642358" "2.55461404021702" "0.703961475564385"
"Mb.bullatum_DSM21893T" "st129" "6666666.879397.txt" "54" "4949171" "647375" "4993" "1755" "0" "27" "2483" "3211" "1.29319371727749" "1.22071744367206" "0.677103795416739"
"Mb.cerastii_DSM23679T" "st130" "6666666.879398.txt" "150" "5374490" "269241" "5712" "2194" "0" "56" "2565" "3462" "1.34970760233918" "1.47222229537973" "0.700997812592849"
"Mb.frigidaeris_JCM32048T=IER25-16" "st131" "6666666.879399.txt" "421" "7863229" "374338" "8501" "3133" "0" "107" "3122" "5261" "1.68513773222293" "3.460561449613" "0.704931645997606"
"Mb.goesingense_DSM21331T" "st132" "6666666.879400.txt" "263" "5322433" "108374" "5596" "2018" "0" "49" "2587" "3529" "1.36412833397758" "1.49954763859471" "0.692623672257397"
"Mb.gregans_NBRC103626T=002-074=DSM19564" "st133" "6666666.879401.txt" "209" "5731015" "175755" "5906" "2126" "0" "25" "2674" "3755" "1.40426327599102" "1.58603985094143" "0.706840818450077"
"Mb.hispanicum_DSM16372T" "st134" "6666666.879403.txt" "114" "6656884" "455025" "6943" "3050" "0" "31" "2736" "3862" "1.41154970760234" "1.54808309009413" "0.7130918828836"
"Mb.iners_DSM19015T" "st135" "6666666.879404.txt" "175" "5472791" "172707" "6147" "2754" "0" "76" "2512" "3317" "1.32046178343949" "1.38390190908137" "0.684634428255302"
"Mb.isbiliense_DSM17168T" "st136" "6666666.879405.txt" "167" "6957643" "370046" "7340" "2797" "0" "129" "3015" "4414" "1.46401326699834" "1.95536162828483" "0.71365196980262"
"Mb.jeotgali_LMG23639T" "st137" "6666666.879406.txt" "112" "4453348" "171679" "4582" "1695" "0" "12" "2309" "2875" "1.24512776093547" "0.949153067544154" "0.712935899863426"
"Mb.komagatae_NBRC103627T=DSM19563T" "st138" "6666666.879407.txt" "46" "5499854" "602831" "5573" "1929" "0" "27" "2604" "3617" "1.38901689708141" "1.53945745880889" "0.679379080216852"
"Mb.longum_DSM23933T" "st139" "6666666.879408.txt" "208" "6596486" "398734" "7363" "3091" "0" "122" "2777" "4150" "1.49441843716241" "1.93445956807696" "0.696475548898653"
"Mb.marchantiae_DSM21328T" "st140" "6666666.879409.txt" "82" "4606735" "247709" "4750" "1659" "0" "39" "2416" "3052" "1.26324503311258" "1.1275903986917" "0.671498545023083"
"Mb.mesophilicum_NBRC15688T" "st141" "6666666.879410.txt" "187" "5882302" "511965" "6289" "2345" "0" "81" "2732" "3863" "1.41398243045388" "1.68030636070355" "0.697512389240836"
"Mb.organophilum_NBRC15689T" "st142" "6666666.879411.txt" "86" "5060180" "580835" "5102" "1710" "0" "39" "2567" "3353" "1.30619400077912" "1.23335867553624" "0.703582548588728"
"Mb.persicinum_NBRC103628T" "st143" "6666666.879412.txt" "95" "5261201" "336632" "5212" "1818" "0" "37" "2519" "3357" "1.33267169511711" "1.30363046550184" "0.691270617068633"
"Mb.tardum_NBRC103632T=DSM19566" "st144" "6666666.879413.txt" "143" "6878587" "591218" "7368" "2989" "0" "74" "2808" "4305" "1.53311965811966" "2.20574434432067" "0.696532313106098"
"Mb.tarhaniae_DSM25844T=N4211" "st145" "6666666.879414.txt" "480" "6720585" "152470" "7276" "2568" "0" "32" "2971" "4676" "1.57388084819926" "3.26426076903939" "0.708916183000556"
"Mb.thuringiense_DSM23674" "st146" "6666666.879415.txt" "47" "4702741" "457393" "4906" "1846" "0" "32" "2417" "3028" "1.25279271824576" "1.0915357007021" "0.681402150808352"
"Mb.trifolii_DSM23632" "st147" "6666666.879416.txt" "424" "5133186" "80525" "5594" "2101" "0" "55" "2554" "3438" "1.3461237274863" "1.42002171205632" "0.702094407747283"
"Mb.variabile_DSM16961T=GR3" "st148" "6666666.879417.txt" "560" "7398003" "104995" "8067" "3153" "0" "105" "3003" "4809" "1.6013986013986" "2.46912136904365" "0.711636309762727"
"Mr.aminovorans_NBRC15686T" "st152" "6666666.879418.txt" "118" "6073120" "1039297" "6239" "2317" "0" "114" "2737" "3808" "1.39130434782609" "1.65675926391894" "0.687250838749399"
"Mr.extorquens_NBRC15687T=TK0001T" "st153" "6666666.879419.txt" "1" "5715512" "5715512" "6003" "1801" "120" "66" "2807" "4016" "1.43070894193089" "1.71137997374699" "0.687913667171566"
"Mr.podarium_DSM15083T" "st154" "6666666.879420.txt" "731" "5269362" "43485" "5875" "1978" "0" "23" "2706" "3874" "1.43163340724316" "1.6991736798252" "0.704196202635916"
"Mr.suomiense_DSM14458T" "st155" "6666666.879421.txt" "56" "5542963" "689385" "5669" "2097" "0" "31" "2640" "3541" "1.34128787878788" "1.4872834236522" "0.686553200728763"
"Mr.zatmanii_DSM5688T=LMG6087T" "st156" "6666666.879422.txt" "391" "5203102" "103320" "5425" "1692" "0" "68" "2683" "3665" "1.36600819977637" "1.45662875103845" "0.694532050841545"
"Mb.ajmalii_IF7SW-B2T" "st127" "6666666.879423.txt" "192" "6791804" "194835" "7089" "2637" "0" "90" "2960" "4362" "1.47364864864865" "1.98097956203727" "0.713584801958451"
